H [m];qc [MPa];fs [MPa];u2 [MPa];Incl. [Deg];t [s];v [cm/s];Rf [%];Uo [MPa];qt [MPa];ft [MPa];sigmaVo [MPa];sigma'Vo [MPa];Qt [];Bq [];Rf(qc) [%];Rfd [%];soil [];UW [kN/m3];qc [MPa];fs [MPa];u2 [MPa]
0.00;0.000;0.00;0.0004;5.1;6.880;0.000;10.000;0.000;0.000;0.000;0.000;0.000;0.000;0.0000;0.000;0.000;1;12.50;0.000;0.00;0.0004
0.01;0.913;0.00;0.0001;4.9;7.890;0.990;0.077;0.000;0.913;0.001;0.000;0.000;0.000;0.0000;0.077;0.000;1;17.50;1.986;0.00;-0.0003
0.02;1.649;0.00;-0.0001;4.9;8.510;1.613;0.074;0.000;1.649;0.001;0.000;0.000;0.000;0.0000;0.074;0.000;1;18.50;2.580;0.00;-0.0002
0.03;2.350;0.00;-0.0003;4.9;9.010;2.000;0.076;0.000;2.350;0.002;0.001;0.000;0.000;0.0000;0.076;0.000;1;18.50;3.153;0.00;-0.0008
0.04;2.927;0.00;-0.0005;4.9;9.490;2.083;0.080;0.000;2.927;0.002;0.001;0.000;0.000;0.0000;0.080;0.000;8;18.50;3.472;0.00;-0.0007
0.05;3.414;0.00;-0.0006;4.9;9.920;2.326;0.088;0.000;3.414;0.003;0.001;0.000;0.000;0.0000;0.088;0.036;8;19.00;3.842;0.00;-0.0008
0.06;3.808;0.00;-0.0007;4.8;10.340;2.381;0.103;0.000;3.808;0.004;0.001;0.000;0.000;0.0000;0.103;0.067;8;19.00;4.045;0.00;-0.0010
0.07;4.132;0.01;-0.0008;4.9;10.760;2.381;0.126;0.000;4.132;0.005;0.001;0.000;0.000;0.0000;0.126;0.047;8;19.00;4.264;0.00;-0.0009
0.08;4.402;0.01;-0.0009;4.8;11.180;2.381;0.156;0.000;4.402;0.007;0.001;0.000;0.000;0.0000;0.156;0.049;8;19.00;4.484;0.00;-0.0009
0.09;4.632;0.01;-0.0009;4.9;11.580;2.500;0.195;0.000;4.632;0.009;0.002;0.000;0.000;0.0000;0.195;0.087;8;19.00;4.712;0.00;-0.0007
0.10;4.830;0.01;-0.0009;4.8;11.980;2.500;0.240;0.000;4.830;0.012;0.002;0.000;0.000;0.0000;0.240;0.211;8;19.00;4.889;0.01;-0.0009
0.11;5.001;0.01;-0.0009;4.8;12.380;2.500;0.290;0.000;5.001;0.014;0.002;0.000;0.000;0.0000;0.290;0.304;8;19.00;5.156;0.02;-0.0010
0.12;5.147;0.02;-0.0009;4.8;12.780;2.500;0.343;0.000;5.147;0.018;0.002;0.000;0.000;0.0000;0.343;0.345;8;19.00;5.354;0.02;-0.0010
0.13;5.271;0.02;-0.0010;4.8;13.180;2.500;0.396;0.000;5.271;0.021;0.002;0.000;0.000;0.0000;0.396;0.392;8;19.00;5.496;0.02;-0.0010
0.14;5.378;0.02;-0.0010;4.8;13.580;2.500;0.448;0.000;5.378;0.024;0.003;0.000;0.000;0.0000;0.448;0.456;8;19.00;5.522;0.02;-0.0010
0.15;5.477;0.03;-0.0010;4.8;13.960;2.632;0.495;0.000;5.477;0.027;0.003;0.000;0.000;0.0000;0.495;0.533;8;19.00;5.509;0.03;-0.0011
0.16;5.575;0.03;-0.0010;4.8;14.340;2.632;0.535;0.000;5.575;0.030;0.003;0.000;0.000;0.0000;0.535;0.552;8;19.00;5.462;0.03;-0.0009
0.17;5.681;0.03;-0.0010;4.8;14.730;2.564;0.568;0.000;5.681;0.032;0.003;0.000;0.000;0.0000;0.568;0.624;8;19.00;5.419;0.04;-0.0010
0.18;5.800;0.03;-0.0010;4.8;15.110;2.632;0.592;0.000;5.800;0.034;0.003;0.000;0.000;0.0000;0.592;0.660;8;19.00;5.501;0.04;-0.0010
0.19;5.930;0.04;-0.0010;4.8;15.510;2.500;0.610;0.000;5.930;0.036;0.004;0.000;0.000;0.0000;0.610;0.646;8;19.00;5.794;0.04;-0.0009
0.20;6.067;0.04;-0.0010;4.8;15.910;2.500;0.624;0.000;6.067;0.038;0.004;0.000;0.000;0.0000;0.624;0.627;8;19.00;6.087;0.04;-0.0010
0.21;6.201;0.04;-0.0010;4.8;16.310;2.500;0.638;0.000;6.201;0.040;0.004;0.000;0.000;0.0000;0.638;0.627;8;19.00;6.375;0.04;-0.0010
0.22;6.325;0.04;-0.0010;4.8;16.710;2.500;0.656;0.000;6.325;0.041;0.004;0.000;0.000;0.0000;0.656;0.595;8;19.00;6.556;0.04;-0.0010
0.23;6.430;0.04;-0.0010;4.8;17.110;2.500;0.679;0.000;6.430;0.044;0.004;0.000;0.000;0.0000;0.679;0.563;8;19.00;6.759;0.04;-0.0012
0.24;6.514;0.05;-0.0010;4.8;17.510;2.500;0.707;0.000;6.514;0.046;0.005;0.000;0.000;0.0000;0.707;0.669;8;19.00;6.591;0.04;-0.0011
0.25;6.580;0.05;-0.0010;4.8;17.910;2.500;0.737;0.000;6.580;0.049;0.005;0.000;0.000;0.0000;0.737;0.724;8;19.00;6.728;0.05;-0.0012
0.26;6.634;0.05;-0.0010;4.8;18.310;2.500;0.767;0.000;6.634;0.051;0.005;0.000;0.000;0.0000;0.767;0.793;8;19.00;6.659;0.05;-0.0013
0.27;6.684;0.05;-0.0009;4.8;18.710;2.500;0.791;0.000;6.684;0.053;0.005;0.000;0.000;0.0000;0.791;0.874;8;19.00;6.526;0.06;-0.0012
0.28;6.738;0.05;-0.0009;4.8;19.120;2.439;0.806;0.000;6.738;0.054;0.005;0.000;0.000;0.0000;0.806;0.958;8;19.00;6.565;0.06;-0.0005
0.29;6.804;0.06;-0.0008;4.8;19.520;2.500;0.811;0.000;6.804;0.055;0.005;0.000;0.000;0.0000;0.811;0.988;8;19.00;6.776;0.07;-0.0012
0.30;6.886;0.06;-0.0008;4.8;22.830;0.302;0.807;0.000;6.886;0.056;0.006;0.000;0.000;0.0000;0.807;0.870;8;19.00;6.431;0.06;-0.0001
0.31;6.986;0.06;-0.0007;4.8;23.550;1.389;0.798;0.000;6.986;0.056;0.006;0.000;0.000;0.0000;0.798;0.601;8;19.00;7.336;0.04;-0.0008
0.32;7.104;0.06;-0.0007;4.8;24.110;1.786;0.785;0.000;7.104;0.056;0.006;0.000;0.000;0.0000;0.785;0.691;8;19.00;6.978;0.05;-0.0008
0.33;7.239;0.06;-0.0007;4.8;24.610;2.000;0.771;0.000;7.239;0.056;0.006;0.000;0.000;0.0000;0.771;0.733;8;19.00;7.056;0.05;-0.0007
0.34;7.386;0.06;-0.0007;4.8;25.070;2.174;0.759;0.000;7.386;0.056;0.006;0.000;0.000;0.0000;0.759;0.786;8;19.00;7.228;0.06;-0.0006
0.35;7.544;0.06;-0.0007;4.8;25.500;2.326;0.746;0.000;7.544;0.056;0.007;0.000;0.000;0.0000;0.746;0.802;8;19.00;7.538;0.06;-0.0007
0.36;7.707;0.06;-0.0007;4.8;25.920;2.381;0.735;0.000;7.707;0.057;0.007;0.000;0.000;0.0000;0.735;0.766;8;19.00;7.779;0.06;-0.0006
0.37;7.872;0.06;-0.0007;4.8;26.340;2.381;0.723;0.000;7.872;0.057;0.007;0.000;0.000;0.0000;0.723;0.748;8;19.00;7.848;0.06;-0.0006
0.38;8.035;0.06;-0.0007;4.8;26.750;2.439;0.712;0.000;8.035;0.057;0.007;0.000;0.000;0.0000;0.712;0.722;8;19.00;8.107;0.06;-0.0008
0.39;8.191;0.06;-0.0007;4.8;27.160;2.439;0.702;0.000;8.191;0.058;0.007;0.000;0.000;0.0000;0.702;0.661;8;19.00;8.275;0.05;-0.0006
0.40;8.341;0.06;-0.0007;4.8;27.580;2.381;0.695;0.000;8.341;0.058;0.008;0.000;0.000;0.0000;0.695;0.665;8;19.00;8.296;0.06;-0.0006
0.41;8.484;0.06;-0.0007;4.8;27.970;2.564;0.690;0.000;8.484;0.059;0.008;0.000;0.000;0.0000;0.690;0.656;8;19.00;8.658;0.06;-0.0006
0.42;8.623;0.06;-0.0007;4.8;28.370;2.500;0.688;0.000;8.623;0.059;0.008;0.000;0.000;0.0000;0.688;0.662;8;19.00;8.826;0.06;-0.0007
0.43;8.763;0.06;-0.0007;4.8;28.770;2.500;0.686;0.000;8.763;0.060;0.008;0.000;0.000;0.0000;0.686;0.651;8;19.00;8.615;0.06;-0.0008
0.44;8.909;0.06;-0.0007;4.8;29.170;2.500;0.684;0.000;8.909;0.061;0.008;0.000;0.000;0.0000;0.684;0.762;8;19.00;8.628;0.07;-0.0006
0.45;9.063;0.06;-0.0007;4.8;29.570;2.500;0.680;0.000;9.063;0.062;0.009;0.000;0.000;0.0000;0.680;0.727;8;19.00;8.943;0.07;-0.0006
0.46;9.227;0.06;-0.0007;4.8;29.970;2.500;0.674;0.000;9.227;0.062;0.009;0.000;0.000;0.0000;0.674;0.693;8;19.00;9.261;0.06;-0.0007
0.47;9.397;0.06;-0.0008;4.8;30.360;2.564;0.666;0.000;9.397;0.063;0.009;0.000;0.000;0.0000;0.666;0.678;8;19.00;9.287;0.06;-0.0006
0.48;9.566;0.06;-0.0008;4.8;30.750;2.564;0.659;0.000;9.566;0.063;0.009;0.000;0.000;0.0000;0.659;0.616;8;19.00;9.580;0.06;-0.0008
0.49;9.726;0.06;-0.0008;4.8;31.130;2.632;0.654;0.000;9.726;0.064;0.009;0.000;0.000;0.0000;0.654;0.629;8;19.00;9.830;0.06;-0.0009
0.50;9.867;0.06;-0.0008;4.8;31.520;2.564;0.653;0.000;9.867;0.064;0.009;0.000;0.000;0.0000;0.653;0.619;8;19.00;10.041;0.06;-0.0006
0.51;9.980;0.07;-0.0009;4.8;31.920;2.500;0.658;0.000;9.980;0.066;0.010;0.000;0.000;0.0000;0.658;0.638;8;19.00;10.265;0.06;-0.0014
0.52;10.057;0.07;-0.0009;4.8;32.320;2.500;0.670;0.000;10.057;0.067;0.010;0.000;0.000;0.0000;0.670;0.668;8;19.00;10.373;0.07;-0.0008
0.53;10.095;0.07;-0.0009;4.8;32.710;2.564;0.689;0.000;10.095;0.070;0.010;0.000;0.000;0.0000;0.689;0.622;8;19.00;10.317;0.06;-0.0008
0.54;10.096;0.07;-0.0009;4.8;33.110;2.500;0.717;0.000;10.096;0.072;0.010;0.000;0.000;0.0000;0.717;0.705;8;19.00;10.230;0.07;-0.0009
0.55;10.064;0.08;-0.0009;4.8;33.490;2.632;0.752;0.000;10.064;0.076;0.010;0.000;0.000;0.0000;0.752;0.745;8;19.00;10.334;0.07;-0.0008
0.56;10.010;0.08;-0.0009;4.8;33.890;2.500;0.794;0.000;10.010;0.079;0.011;0.000;0.000;0.0000;0.794;0.745;8;19.00;10.355;0.07;-0.0008
0.57;9.947;0.08;-0.0009;4.8;34.270;2.632;0.839;0.000;9.947;0.083;0.011;0.000;0.000;0.0000;0.839;0.832;8;19.00;9.546;0.08;-0.0009
0.58;9.887;0.09;-0.0009;4.8;34.670;2.500;0.885;0.000;9.887;0.087;0.011;0.000;0.000;0.0000;0.885;0.849;8;19.00;9.791;0.08;-0.0010
0.59;9.840;0.09;-0.0009;4.8;35.070;2.500;0.928;0.000;9.840;0.091;0.011;0.000;0.000;0.0000;0.928;0.940;8;19.00;9.752;0.09;-0.0011
0.60;9.814;0.09;-0.0009;4.8;35.470;2.500;0.964;0.000;9.814;0.095;0.011;0.000;0.000;0.0000;0.964;1.048;8;19.00;9.429;0.10;-0.0006
0.61;9.809;0.10;-0.0009;4.8;35.870;2.500;0.991;0.000;9.809;0.097;0.012;0.000;0.000;0.0000;0.991;1.061;8;19.00;9.645;0.10;-0.0008
0.62;9.822;0.10;-0.0009;4.8;36.250;2.632;1.007;0.000;9.822;0.099;0.012;0.000;0.000;0.0000;1.007;1.100;8;19.00;9.748;0.11;-0.0007
0.63;9.843;0.10;-0.0009;4.8;36.650;2.500;1.012;0.000;9.843;0.100;0.012;0.000;0.000;0.0000;1.012;1.087;8;19.00;9.834;0.11;-0.0007
0.64;9.862;0.10;-0.0009;4.8;37.050;2.500;1.010;0.000;9.862;0.100;0.012;0.000;0.000;0.0000;1.010;1.062;8;19.00;10.024;0.10;-0.0012
0.65;9.868;0.10;-0.0009;4.8;37.440;2.564;1.003;0.000;9.868;0.099;0.012;0.000;0.000;0.0000;1.003;1.003;8;19.00;10.110;0.10;-0.0007
0.66;9.854;0.10;-0.0009;4.8;37.820;2.632;0.994;0.000;9.854;0.098;0.013;0.000;0.000;0.0000;0.994;0.956;8;19.00;10.123;0.09;-0.0012
0.67;9.815;0.10;-0.0010;4.8;38.220;2.500;0.988;0.000;9.815;0.097;0.013;0.000;0.000;0.0000;0.988;0.958;8;19.00;10.006;0.09;-0.0008
0.68;9.753;0.10;-0.0010;4.8;38.620;2.500;0.985;0.000;9.753;0.096;0.013;0.000;0.000;0.0000;0.985;0.948;8;19.00;9.830;0.09;-0.0009
0.69;9.670;0.10;-0.0011;4.8;39.020;2.500;0.987;0.000;9.670;0.095;0.013;0.000;0.000;0.0000;0.987;0.966;8;19.00;9.675;0.09;-0.0009
0.70;9.574;0.10;-0.0011;4.8;39.420;2.500;0.993;0.000;9.574;0.095;0.013;0.000;0.000;0.0000;0.993;0.998;8;19.00;9.589;0.10;-0.0010
0.71;9.470;0.09;-0.0012;4.8;39.820;2.500;1.002;0.000;9.470;0.095;0.013;0.000;0.000;0.0000;1.002;1.008;8;19.00;9.502;0.10;-0.0013
0.72;9.367;0.09;-0.0013;4.8;40.220;2.500;1.012;0.000;9.367;0.095;0.014;0.000;0.000;0.0000;1.012;1.020;8;19.00;9.322;0.10;-0.0018
0.73;9.272;0.09;-0.0013;4.8;40.620;2.500;1.021;0.000;9.272;0.095;0.014;0.000;0.000;0.0000;1.021;1.008;8;19.00;9.227;0.09;-0.0013
0.74;9.190;0.09;-0.0014;4.8;41.020;2.500;1.028;0.000;9.190;0.094;0.014;0.000;0.000;0.0000;1.028;1.024;8;19.00;9.072;0.09;-0.0012
0.75;9.125;0.09;-0.0015;4.8;41.420;2.500;1.032;0.000;9.125;0.094;0.014;0.000;0.000;0.0000;1.032;1.045;8;19.00;8.951;0.10;-0.0014
0.76;9.079;0.09;-0.0016;4.8;41.830;2.439;1.032;0.000;9.079;0.094;0.014;0.000;0.000;0.0000;1.032;1.087;8;19.00;8.904;0.10;-0.0014
0.77;9.052;0.09;-0.0017;4.8;42.230;2.500;1.030;0.000;9.052;0.093;0.015;0.000;0.000;0.0000;1.030;1.061;8;19.00;8.908;0.10;-0.0015
0.78;9.040;0.09;-0.0019;4.8;42.630;2.500;1.026;0.000;9.040;0.093;0.015;0.000;0.000;0.0000;1.026;0.996;8;19.00;8.999;0.09;-0.0014
0.79;9.039;0.09;-0.0021;4.8;43.030;2.500;1.024;0.000;9.039;0.093;0.015;0.000;0.000;0.0000;1.024;0.982;8;19.00;9.029;0.09;-0.0013
0.80;9.042;0.09;-0.0024;4.8;43.450;2.381;1.026;0.000;9.042;0.093;0.015;0.000;0.000;0.0000;1.026;0.953;8;19.00;9.089;0.09;-0.0019
0.81;9.044;0.09;-0.0026;4.8;43.840;2.564;1.032;0.000;9.044;0.093;0.015;0.000;0.000;0.0000;1.032;0.974;8;19.00;9.128;0.09;-0.0034
0.82;9.042;0.09;-0.0028;4.8;44.240;2.500;1.045;0.000;9.042;0.094;0.016;0.000;0.000;0.0000;1.045;1.031;8;19.00;9.106;0.09;-0.0038
0.83;9.033;0.10;-0.0029;4.8;44.640;2.500;1.062;0.000;9.033;0.096;0.016;0.000;0.000;0.0000;1.062;1.075;8;19.00;9.111;0.10;-0.0036
0.84;9.017;0.10;-0.0029;4.8;45.030;2.564;1.084;0.000;9.017;0.098;0.016;0.000;0.000;0.0000;1.084;1.086;8;19.00;9.063;0.10;-0.0026
0.85;8.997;0.10;-0.0029;4.8;45.430;2.500;1.110;0.000;8.997;0.100;0.016;0.000;0.000;0.0000;1.110;1.104;8;19.00;9.037;0.10;-0.0047
0.86;8.976;0.10;-0.0028;4.8;45.820;2.564;1.136;0.000;8.976;0.102;0.016;0.000;0.000;0.0000;1.136;1.117;8;19.00;8.943;0.10;-0.0029
0.87;8.958;0.10;-0.0027;4.8;46.230;2.439;1.162;0.000;8.958;0.104;0.016;0.000;0.000;0.0000;1.162;1.152;8;19.00;8.861;0.10;-0.0024
0.88;8.949;0.11;-0.0025;4.8;46.630;2.500;1.186;0.000;8.949;0.106;0.017;0.000;0.000;0.0000;1.186;1.205;8;19.00;8.865;0.11;-0.0024
0.89;8.952;0.11;-0.0024;4.8;47.010;2.632;1.206;0.000;8.952;0.108;0.017;0.000;0.000;0.0000;1.206;1.240;8;19.00;8.865;0.11;-0.0015
0.90;8.968;0.11;-0.0023;4.8;47.410;2.500;1.222;0.000;8.968;0.110;0.017;0.000;0.000;0.0000;1.222;1.256;8;19.00;8.882;0.11;-0.0017
0.91;8.998;0.11;-0.0023;4.8;47.790;2.632;1.233;0.000;8.998;0.111;0.017;0.000;0.000;0.0000;1.233;1.259;8;19.00;8.908;0.11;-0.0021
0.92;9.042;0.11;-0.0023;4.8;48.190;2.500;1.239;0.000;9.042;0.112;0.017;0.000;0.000;0.0000;1.239;1.242;8;19.00;8.968;0.11;-0.0021
0.93;9.098;0.11;-0.0024;4.8;48.590;2.500;1.243;0.000;9.098;0.113;0.018;0.000;0.000;0.0000;1.243;1.232;8;19.00;9.076;0.11;-0.0027
0.94;9.163;0.11;-0.0024;4.8;48.990;2.500;1.244;0.000;9.163;0.114;0.018;0.000;0.000;0.0000;1.244;1.244;8;19.00;9.098;0.11;-0.0026
0.95;9.233;0.12;-0.0025;4.8;49.400;2.439;1.247;0.000;9.233;0.115;0.018;0.000;0.000;0.0000;1.247;1.249;8;19.00;9.205;0.12;-0.0035
0.96;9.304;0.12;-0.0026;4.8;49.800;2.500;1.252;0.000;9.304;0.116;0.018;0.000;0.000;0.0000;1.252;1.229;8;19.00;9.313;0.11;-0.0017
0.97;9.372;0.12;-0.0027;4.8;50.190;2.564;1.261;0.000;9.372;0.118;0.018;0.000;0.000;0.0000;1.261;1.202;8;19.00;9.464;0.11;-0.0017
0.98;9.431;0.12;-0.0028;4.8;50.570;2.632;1.275;0.000;9.431;0.120;0.019;0.000;0.000;0.0000;1.275;1.235;8;19.00;9.520;0.12;-0.0031
0.99;9.477;0.12;-0.0029;4.8;50.960;2.564;1.297;0.000;9.477;0.123;0.019;0.000;0.000;0.0000;1.297;1.274;8;19.00;9.550;0.12;-0.0031
1.00;9.507;0.13;-0.0030;4.8;51.350;2.564;1.328;0.000;9.507;0.126;0.019;0.000;0.000;0.0000;1.328;1.314;8;19.00;9.563;0.12;-0.0033
1.01;9.516;0.13;-0.0031;4.8;51.750;2.500;1.368;0.000;9.516;0.130;0.019;0.000;0.000;0.0000;1.368;1.365;8;19.00;9.614;0.13;-0.0045
1.02;9.502;0.13;-0.0032;4.8;52.140;2.564;1.420;0.000;9.502;0.135;0.019;0.000;0.000;0.0000;1.420;1.359;8;19.00;9.757;0.13;-0.0035
1.03;9.464;0.14;-0.0033;4.8;52.540;2.500;1.483;0.000;9.464;0.140;0.020;0.000;0.000;0.0000;1.483;1.408;8;19.00;9.623;0.13;-0.0019
1.04;9.402;0.15;-0.0035;4.8;52.930;2.564;1.560;0.000;9.402;0.147;0.020;0.000;0.000;0.0000;1.560;1.500;8;18.50;9.511;0.14;-0.0026
1.05;9.318;0.15;-0.0036;4.8;53.320;2.564;1.650;0.000;9.318;0.154;0.020;0.000;0.000;0.0000;1.650;1.587;8;18.50;9.395;0.15;-0.0019
1.06;9.214;0.16;-0.0038;4.8;53.710;2.564;1.751;0.000;9.214;0.161;0.020;0.000;0.000;0.0000;1.751;1.721;8;18.50;9.291;0.16;-0.0040
1.07;9.094;0.17;-0.0039;4.8;54.110;2.500;1.862;0.000;9.094;0.169;0.020;0.000;0.000;0.0000;1.862;1.869;8;18.50;9.167;0.17;-0.0056
1.08;8.962;0.18;-0.0040;4.8;54.510;2.500;1.979;0.000;8.962;0.177;0.020;0.000;0.000;0.0000;1.979;1.999;6;18.50;9.024;0.18;-0.0058
1.09;8.825;0.19;-0.0040;4.8;54.910;2.500;2.098;0.000;8.825;0.185;0.021;0.000;0.000;0.0000;2.098;2.144;6;18.50;8.831;0.19;-0.0057
1.10;8.687;0.19;-0.0040;4.8;55.310;2.500;2.214;0.000;8.687;0.192;0.021;0.000;0.000;0.0000;2.214;2.289;6;18.50;8.654;0.20;-0.0035
1.11;8.554;0.20;-0.0039;4.8;55.710;2.500;2.324;0.000;8.554;0.199;0.021;0.000;0.000;0.0000;2.324;2.377;6;18.50;8.525;0.20;-0.0021
1.12;8.429;0.20;-0.0038;4.8;56.110;2.500;2.422;0.000;8.429;0.204;0.021;0.000;0.000;0.0000;2.422;2.495;6;18.50;8.288;0.21;-0.0025
1.13;8.316;0.21;-0.0037;4.8;56.500;2.564;2.506;0.000;8.316;0.208;0.021;0.000;0.000;0.0000;2.506;2.576;6;18.00;8.193;0.21;-0.0042
1.14;8.216;0.21;-0.0035;4.8;56.910;2.439;2.573;0.000;8.216;0.211;0.022;0.000;0.000;0.0000;2.573;2.661;6;18.00;8.133;0.22;-0.0046
1.15;8.130;0.21;-0.0034;4.8;57.300;2.564;2.621;0.000;8.130;0.213;0.022;0.000;0.000;0.0000;2.621;2.722;6;18.00;8.064;0.22;-0.0039
1.16;8.057;0.21;-0.0033;4.8;57.700;2.500;2.649;0.000;8.057;0.213;0.022;0.000;0.000;0.0000;2.649;2.720;6;18.00;8.038;0.22;-0.0028
1.17;7.994;0.21;-0.0031;4.8;58.100;2.500;2.658;0.000;7.994;0.212;0.022;0.000;0.000;0.0000;2.658;2.748;6;18.00;7.960;0.22;-0.0035
1.18;7.939;0.21;-0.0028;4.8;58.500;2.500;2.649;0.000;7.939;0.210;0.022;0.000;0.000;0.0000;2.649;2.721;6;18.00;7.870;0.22;-0.0040
1.19;7.889;0.21;-0.0026;4.8;58.890;2.564;2.624;0.000;7.889;0.207;0.022;0.000;0.000;0.0000;2.624;2.689;6;18.00;7.887;0.21;-0.0023
1.20;7.840;0.20;-0.0023;4.8;59.290;2.500;2.586;0.000;7.840;0.203;0.023;0.000;0.000;0.0000;2.586;2.654;6;18.00;7.848;0.21;-0.0018
1.21;7.791;0.20;-0.0021;4.8;59.680;2.564;2.538;0.000;7.791;0.198;0.023;0.000;0.000;0.0000;2.538;2.589;6;18.00;7.835;0.20;-0.0014
1.22;7.737;0.19;-0.0020;4.8;60.070;2.564;2.483;0.000;7.737;0.192;0.023;0.000;0.000;0.0000;2.483;2.521;6;18.00;7.797;0.19;-0.0020
1.23;7.680;0.19;-0.0019;4.8;60.470;2.500;2.425;0.000;7.680;0.186;0.023;0.000;0.000;0.0000;2.425;2.420;6;18.00;7.728;0.19;-0.0010
1.24;7.617;0.18;-0.0019;4.8;60.860;2.564;2.365;0.000;7.617;0.180;0.023;0.000;0.000;0.0000;2.365;2.321;7;18.50;7.624;0.18;-0.0017
1.25;7.550;0.17;-0.0020;4.8;61.260;2.500;2.305;0.000;7.550;0.174;0.024;0.000;0.000;0.0000;2.305;2.246;7;18.50;7.560;0.17;-0.0007
1.26;7.480;0.17;-0.0022;4.8;61.660;2.500;2.245;0.000;7.480;0.168;0.024;0.000;0.000;0.0000;2.245;2.230;7;18.50;7.504;0.17;-0.0013
1.27;7.410;0.16;-0.0025;4.8;62.060;2.500;2.183;0.000;7.410;0.162;0.024;0.000;0.000;0.0000;2.183;2.208;7;18.50;7.422;0.16;-0.0029
1.28;7.344;0.16;-0.0027;4.8;62.460;2.500;2.118;0.000;7.344;0.156;0.024;0.000;0.000;0.0000;2.118;2.181;7;18.50;7.362;0.16;-0.0034
1.29;7.284;0.15;-0.0030;4.8;62.850;2.564;2.051;0.000;7.284;0.149;0.024;0.000;0.000;0.0000;2.051;2.136;7;18.50;7.293;0.16;-0.0040
1.30;7.233;0.14;-0.0033;4.8;64.850;0.500;1.982;0.000;7.233;0.143;0.024;0.000;0.000;0.0000;1.982;1.968;7;18.50;6.905;0.14;-0.0035
1.31;7.191;0.14;-0.0037;4.8;65.550;1.429;1.913;0.000;7.191;0.138;0.025;0.000;0.000;0.0000;1.913;1.816;7;18.50;7.095;0.13;-0.0029
1.32;7.156;0.13;-0.0042;4.8;66.090;1.852;1.847;0.000;7.156;0.132;0.025;0.000;0.000;0.0000;1.847;1.732;7;18.50;7.172;0.12;-0.0019
1.33;7.126;0.13;-0.0047;4.8;66.560;2.128;1.786;0.000;7.126;0.127;0.025;0.000;0.000;0.0000;1.786;1.716;7;18.50;7.172;0.12;-0.0047
1.34;7.097;0.12;-0.0054;4.8;67.010;2.222;1.734;0.000;7.097;0.123;0.025;0.000;0.000;0.0000;1.734;1.715;7;18.50;7.189;0.12;-0.0051
1.35;7.067;0.12;-0.0062;4.8;67.450;2.273;1.691;0.000;7.067;0.119;0.025;0.000;0.000;0.0000;1.691;1.662;7;18.50;7.138;0.12;-0.0042
1.36;7.034;0.12;-0.0071;4.8;67.860;2.439;1.656;0.000;7.034;0.116;0.026;0.000;0.000;0.0000;1.656;1.612;7;18.50;7.090;0.11;-0.0086
1.37;7.000;0.11;-0.0082;4.8;68.270;2.439;1.627;0.000;7.000;0.114;0.026;0.000;0.000;0.0000;1.627;1.587;7;18.50;6.974;0.11;-0.0066
1.38;6.966;0.11;-0.0094;4.8;68.670;2.500;1.602;0.000;6.966;0.112;0.026;0.000;0.000;0.0000;1.602;1.615;7;18.50;6.901;0.11;-0.0083
1.39;6.933;0.11;-0.0107;4.9;69.060;2.564;1.580;0.000;6.933;0.110;0.026;0.000;0.000;0.0000;1.580;1.579;7;18.50;6.862;0.11;-0.0107
1.40;6.902;0.11;-0.0122;4.8;69.460;2.500;1.558;0.000;6.902;0.108;0.026;0.000;0.000;0.0000;1.558;1.573;7;18.50;6.845;0.11;-0.0106
1.41;6.873;0.11;-0.0137;4.8;69.850;2.564;1.536;0.000;6.873;0.106;0.027;0.000;0.000;0.0000;1.536;1.556;7;18.50;6.875;0.11;-0.0136
1.42;6.846;0.10;-0.0154;4.8;70.240;2.564;1.515;0.000;6.846;0.104;0.027;0.000;0.000;0.0000;1.515;1.510;7;18.50;6.892;0.10;-0.0166
1.43;6.819;0.10;-0.0170;4.8;70.640;2.500;1.496;0.000;6.819;0.102;0.027;0.000;0.000;0.0000;1.496;1.480;7;18.50;6.875;0.10;-0.0145
1.44;6.789;0.10;-0.0186;4.8;71.040;2.500;1.480;0.000;6.789;0.100;0.027;0.000;0.000;0.0000;1.480;1.434;7;18.50;6.802;0.10;-0.0190
1.45;6.755;0.10;-0.0201;4.8;71.440;2.500;1.470;0.000;6.755;0.099;0.027;0.000;0.000;0.0000;1.470;1.432;7;18.50;6.754;0.10;-0.0205
1.46;6.717;0.10;-0.0214;4.8;71.830;2.564;1.468;0.000;6.717;0.099;0.027;0.000;0.000;0.0000;1.468;1.427;7;18.50;6.741;0.10;-0.0250
1.47;6.672;0.10;-0.0225;4.8;72.230;2.500;1.475;0.000;6.672;0.098;0.028;0.000;0.000;0.0000;1.475;1.429;7;18.50;6.711;0.10;-0.0253
1.48;6.619;0.10;-0.0232;4.9;72.610;2.632;1.492;0.000;6.619;0.099;0.028;0.000;0.000;0.0000;1.492;1.451;7;18.50;6.651;0.10;-0.0250
1.49;6.558;0.10;-0.0235;4.9;73.020;2.439;1.521;0.000;6.558;0.100;0.028;0.000;0.000;0.0000;1.521;1.479;7;18.50;6.599;0.10;-0.0257
1.50;6.485;0.10;-0.0234;4.9;73.400;2.632;1.562;0.000;6.485;0.101;0.028;0.000;0.000;0.0000;1.562;1.496;7;18.50;6.569;0.10;-0.0249
1.51;6.399;0.10;-0.0230;4.8;73.800;2.500;1.616;0.000;6.399;0.103;0.028;0.000;0.000;0.0000;1.616;1.548;7;18.50;6.483;0.10;-0.0239
